seed,accuracy,weighted_f1,equity_gap,equity_score
11,0.8333333333333334,0.8307591334968244,0.08195385981229908,0.9180461401877009
21,0.75,0.7467261904761905,0.07620553359683802,0.923794466403162
42,0.7916666666666666,0.792327441077441,0.06991378523213232,0.9300862147678677
84,0.75,0.7492715617715618,0.028998389694041893,0.9710016103059581
101,0.8125,0.8100606290261463,0.1346895319213659,0.8653104680786341
